assistant vice president - listing enforcement - listing,2023/2/28,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Assistant-Vice-President---Listing-Enforcement---Listing_R000429
"data privacy legal counsel, china",2023/3/1,china,https://maersk.wd3.myworkdayjobs.com/Maersk_Careers/job/CN---Shanghai/Data-Privacy-Legal-Counsel--China_R56369
legal content developer,2023/3/1,hong kong,https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Hong-Kong/Practice-Area-Lead_R55935
"senior consultant, privacy operations",2023/3/1,hong kong,https://transunion.wd5.myworkdayjobs.com/TransUnion/job/Hong-Kong/Senior-Consultant--HK-Privacy-Operations_19019005
patent attorney,2023/3/1,united kingdom,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers/job/London/Patent-Attorney_JR-112792
assistant vice president - market surveillance & monitoring (enforcement) - operations (audit/ inspection/ enforcement/ compliance),2023/3/1,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-ONE-ES-21F/Assistant-Vice-President---Market-Surveillance---Monitoring--Enforcement----Operations--Audit--Inspection--Enforcement--Compliance-_R000284
assistant vice president - deputy team leader/ team member - listed issuer regulation - listing (ipo legal/ accounting/ corporate finance),2023/3/1,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Assistant-Vice-President---Deputy-Team-Leader--Team-Member---Listed-Issuer-Regulation---Listing--IPO-Legal--Accounting--Corporate-Finance-_R000554-4
officer - depository services support - depository & nominee services - clearing & depository - operations (clearing/ settlement / nominees/ custodial) (perm/contract),2023/3/1,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-ES-1F/Officer---Depository-Services-Support---Depository---Nominee-Services---Clearing---Depository---Operations--Clearing--Settlement---Nominees--Custodial---Perm-Contract-_R000550-1
legal fellow,2023/3/2,united states of america,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Cambridge/Legal-Fellow_R17706
vice president - team manager - ipo vetting - listing,2023/3/2,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Vice-President---Team-Manager---IPO-Vetting---Listing_R000560-2
legal intern,2023/3/3,japan,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Japan-Tokyo-Toranomon/Legal-Intern_R100511
team manager/ team member - avp/ associate - ipo vetting - listing (legal/ audit),2023/3/6,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-12F/Team-Manager--Team-Member---AVP--Associate---IPO-Vetting---Listing--Legal--Audit-_R000395
"paralegal, asia (litigation & investigations)",2023/3/7,china,https://gilead.wd1.myworkdayjobs.com/gileadcareers/job/China---Hong-Kong/Paralegal--Asia--Litigation---Investigations-_R0035192-1
china legal counsel,2023/3/8,china,https://smithnephew.wd5.myworkdayjobs.com/External/job/CHN---Shanghai/China-Legal-Counsel_R69969-1
assistant vice president/ associate - case officer - listing enforcement - listing (litigation lawyer),2023/3/8,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Assistant-Vice-President--Associate---Listing-Enforcement---Listing_IRC22179
assistant vice president - team leader - structured products - listing (control/ compliance/ risk management),2023/3/8,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-11F/Team-Lead--Assistant-Vice-President---Structured-Products---Listing--Control--Compliance--Risk-Management-_R000128-1
officer - paralegal - listing enforcement - listing (12 months contract),2023/3/8,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Officer--Listing-Enforcement--12-months-contract-_R000435
kering junior corporate counsel,2023/3/9,hong kong sar,https://kering.wd3.myworkdayjobs.com/Kering/job/Hong-Kong/KERING-Junior-Corporate-Counsel_R106376
it compliance officer - cloud & platform - it - 12 months contract,2023/3/9,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TKO-5F/IT-Compliance-Officer---Cloud---Platform---IT---12-months-Contract_IRC28480
senior compliance specialist-shanghai,2023/3/10,china,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/China---Shanghai---Shanghai/Senior-Compliance-Specialist-Shanghai_4880314
